ectomycorrhiza_lineage,similarity
/acephala macrosclerotiorum,98
/albatrellus ,85
/aleurina,83
/amanita ,77
/amphinema-tylospora ,88
/atheliales1,82
/atheliales2,82
/austropaxillus ,87
/boletopsis,90
/boletus ,80
/byssocorticium ,87
/cantharellus,88
/catathelasma ,95
/cenococcum,96
/ceratobasidium1,90
/ceratobasidium2,90
/clavariadelphus ,88
/clavulina ,90
/coltricia,75
/cortinarius,86
/densospora,85
/descolea ,88
/elaphomyces,78
/endogone1,85
/endogone2,85
/endogone3,85
/entoloma ,86
/galactinia,84
/genea-humaria,75
/geopora,88
/guyanagarica,85
/hebeloma-alnicola,83
/helotiales1,96
/helotiales3,95
/helotiales5,98
/helotiales6,95
/hyaloscypha,97
/hydnellum-sarcodon ,84
/hydnotrya,87
/hygrophorus,82
/hysterangium,75
/inocybe ,78
/laccaria,90
/leotia,80
/leucangium,78
/marcelleina-peziza gerardii,80
/otidea,82
/pachyphloeus-amylascus,80
/paralyophyllum ,91
/paxillus-gyrodon ,80
/phaeocollybia,82
/phaeohelotium,96
/phellodon-bankera ,83
/piloderma ,84
/pisolithus-scleroderma ,78
/porpoloma,89
/pseudotomentella,82
/pulvinula,86
/pustularia,90
/pyronemataceae1,82
/pyronemataceae2,87
/pyronemataceae3,85
/ramaria-gautieria ,75
/rhodoscypha,85
/russula-lactarius ,80
/sarcosphaera-hydnotryopsis,80
/sebacina ,84
/serendipita1,95
/serendipita2,95
/sordariales1,85
/sordariales2,89
/sphaerosporella,85
/suillus-rhizopogon ,80
/tarzetta,85
/terfezia-peziza depressa,80
/tomentella-thelephora,85
/tomentellopsis,87
/tremellodendropsis,89
/tricholoma,83
/tuber-helvella ,80
/tulasnella1,94
/tulasnella2,89
/wilcoxina ,88