phylum,class,order,similarity
Aphelidiomycota,,,85
Ascomycota,,,90
Ascomycota,Leotiomycetes,,95
Ascomycota,,Microascales,95
Ascomycota,,Sordariales,95
Ascomycota,,Magnaporthales,95
Ascomycota,,Hypocreales,95
Ascomycota,,Glomerellales,95
Ascomycota,,Eurotiales,95
Ascomycota,,Capnodiales,95
Ascomycota,,Pleosporales,95
Ascomycota,,Lulworthiales,90
Ascomycota,,Pezizales,90
Ascomycota,,Orbiliales,90
Basidiobolomycota,,,85
Basidiomycota,,,90
Blastocladiomycota,,,85
Calcarisporielliomycota,,,90
Chytridiomycota,,,85
Entomophthoromycota,,,85
Entorrhizomycota,,,90
Glomeromycota,,,85
Kickxellomycota,,,85
Monoblepharomycota,,,85
Mortierellomycota,,,90
Mucoromycota,,,90
Mucoromycota,,Endogonales,85
Neocallimastigomycota,,,85
Olpidiomycota,,,85
Rozellomycota,,,85
Zoopagomycota,,,85